component_name	component_version	package_or_native_component	upstream_source	license_expression	selected_license_branch	authoritative_private_license_path	public_legal_file_path	legal_file_sha256	notice_path	artifacts	distribution_kind	inclusion_reason	exclusion_reason	verification_status
async-channel	2.5.0	rust-package	https://crates.io/crates/async-channel/2.5.0	Apache-2.0 OR MIT	MIT	licenses/async-channel-2.5.0-LICENSE-MIT-MIT-98bc5aa5d4-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_process-> async-process@2.5.0 -normal:async_channel-> async-channel@2.5.0. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
async-executor	1.14.0	rust-package	https://crates.io/crates/async-executor/1.14.0	Apache-2.0 OR MIT	MIT	licenses/async-executor-1.14.0-LICENSE-MIT-MIT-9063cc00ea-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_executor-> async-executor@1.14.0. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
async-io	2.6.0	rust-package	https://crates.io/crates/async-io/2.6.0	Apache-2.0 OR MIT	MIT	licenses/async-io-2.6.0-LICENSE-MIT-MIT-4a19b79c66-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_io-> async-io@2.6.0. Observed unit contexts: HOST_BUILD_SCRIPT,TARGET_LINKED_RUNTIME.		PASS
async-lock	3.4.2	rust-package	https://crates.io/crates/async-lock/3.4.2	Apache-2.0 OR MIT	MIT	licenses/async-lock-3.4.2-LICENSE-MIT-MIT-9ae702f3b2-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_lock-> async-lock@3.4.2. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
async-process	2.5.0	rust-package	https://crates.io/crates/async-process/2.5.0	Apache-2.0 OR MIT	MIT	licenses/async-process-2.5.0-LICENSE-MIT-MIT-5483234ba2-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_process-> async-process@2.5.0. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
async-recursion	1.1.1	rust-package	https://crates.io/crates/async-recursion/1.1.1	MIT OR Apache-2.0	NOT_SELECTED						HOST_PROC_MACRO		Host-only compilation-unit proof: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_recursion-> async-recursion@1.1.1. No independent target unit or generated-material proof.	PASS
async-signal	0.2.14	rust-package	https://crates.io/crates/async-signal/0.2.14	Apache-2.0 OR MIT	MIT	licenses/async-signal-0.2.14-LICENSE-MIT-MIT-0e9c483a60-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_process-> async-process@2.5.0 -normal:async_signal-> async-signal@0.2.14. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
async-task	4.7.1	rust-package	https://crates.io/crates/async-task/4.7.1	Apache-2.0 OR MIT	MIT	licenses/async-task-4.7.1-LICENSE-MIT-MIT-f353e14b94-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_executor-> async-executor@1.14.0 -normal:async_task-> async-task@4.7.1. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
async-trait	0.1.92	rust-package	https://crates.io/crates/async-trait/0.1.92	MIT OR Apache-2.0	NOT_SELECTED						HOST_PROC_MACRO		Host-only compilation-unit proof: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:async_trait-> async-trait@0.1.92. No independent target unit or generated-material proof.	PASS
atomic-waker	1.1.2	rust-package	https://crates.io/crates/atomic-waker/1.1.2	Apache-2.0 OR MIT	MIT	licenses/atomic-waker-1.1.2-LICENSE-MIT-MIT-87003d2295-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:blocking-> blocking@1.6.2 -normal:piper-> piper@0.2.5 -normal:atomic_waker-> atomic-waker@1.1.2. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
atomic-waker	1.1.2	rust-package	https://crates.io/crates/atomic-waker/1.1.2	Apache-2.0 OR MIT	MIT	licenses/atomic-waker-1.1.2-LICENSE-THIRD-PARTY-MIT-a3bb2ae02a-6226d0632e2e.txt	licenses/atomic-waker-1.1.2-LICENSE-THIRD-PARTY-MIT-a3bb2ae02a-6226d0632e2e.txt	6226d0632e2e1a80c23597e964da9812ae193c535fe058154afb034e94167aa5		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:blocking-> blocking@1.6.2 -normal:piper-> piper@0.2.5 -normal:atomic_waker-> atomic-waker@1.1.2. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
autocfg	1.5.1	rust-package	https://crates.io/crates/autocfg/1.5.1	Apache-2.0 OR MIT	NOT_SELECTED						HOST_BUILD_DEPENDENCY		Host-only compilation-unit proof: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:ordered_float-> ordered-float@4.6.0 -normal:num_traits-> num-traits@0.2.19 -build:autocfg-> autocfg@1.5.1. No independent target unit or generated-material proof.	PASS
bit-set	0.8.0	rust-package	https://crates.io/crates/bit-set/0.8.0	Apache-2.0 OR MIT	MIT	licenses/bit-set-0.8.0-LICENSE-MIT-MIT-daced6829b-f51ac2c59a22.txt	licenses/bit-set-0.8.0-LICENSE-MIT-MIT-daced6829b-f51ac2c59a22.txt	f51ac2c59a222f7476ce507ca879960e2b64ea64bb2786eefdbeb7b0b538d1b7		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:naga-> naga@24.0.0 -normal:bit_set-> bit-set@0.8.0. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
bit-vec	0.8.0	rust-package	https://crates.io/crates/bit-vec/0.8.0	Apache-2.0 OR MIT	MIT	licenses/bit-vec-0.8.0-LICENSE-MIT-MIT-9e36211d45-f51ac2c59a22.txt	licenses/bit-set-0.8.0-LICENSE-MIT-MIT-daced6829b-f51ac2c59a22.txt	f51ac2c59a222f7476ce507ca879960e2b64ea64bb2786eefdbeb7b0b538d1b7		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:naga-> naga@24.0.0 -normal:bit_set-> bit-set@0.8.0 -normal:bit_vec-> bit-vec@0.8.0. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
bitflags	1.3.2	rust-package	https://crates.io/crates/bitflags/1.3.2	MIT/Apache-2.0	MIT	licenses/bitflags-1.3.2-LICENSE-MIT-MIT-76a9400ff4-6485b8ed310d.txt	licenses/bitflags-1.3.2-LICENSE-MIT-MIT-76a9400ff4-6485b8ed310d.txt	6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display_sound-> mcraw4vulkan-display-sound@0.1.0 -normal:sdl2-> sdl2@0.38.0 -normal:bitflags-> bitflags@1.3.2. Observed unit contexts: HOST_PROC_MACRO_SUPPORT,TARGET_LINKED_RUNTIME.		PASS
bitflags	2.13.1	rust-package	https://crates.io/crates/bitflags/2.13.1	MIT OR Apache-2.0	MIT	licenses/bitflags-2.13.1-LICENSE-MIT-MIT-8855c38f54-6485b8ed310d.txt	licenses/bitflags-1.3.2-LICENSE-MIT-MIT-76a9400ff4-6485b8ed310d.txt	6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:bitflags-> bitflags@2.13.1. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
block	0.1.6	rust-package	https://crates.io/crates/block/0.1.6	MIT	MIT	licenses/block-0.1.6-GENERIC-MIT-MIT-5bf6d96102-2ea522e12139.txt	licenses/block-0.1.6-GENERIC-MIT-MIT-5bf6d96102-2ea522e12139.txt	2ea522e1213979f65243010d7054ac2f861fe92e6f29c685e4e4960bbf7a3c0d		macos-universal	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:block-> block@0.1.6. Observed unit contexts: TARGET_LINKED_RUNTIME. Legal text source: SPDX MIT.txt at revision 5bf6d9610255540bfbee6890765a616042bf1e11; generic MIT explicitly authorized after crates.io metadata confirmed block 0.1.6 license MIT; Copyright (c) 2015 Steven Sheldon.		PASS
block2	0.6.2	rust-package	https://crates.io/crates/block2/0.6.2	MIT	MIT	licenses/block2-0.6.2-LICENSE-MIT.txt-MIT-94bb7d7ede-f6a2e783669a.txt	licenses/block2-0.6.2-LICENSE-MIT.txt-MIT-94bb7d7ede-f6a2e783669a.txt	f6a2e783669a0dd7a2c3b8a4f76db40ae49033e66e1bdc30f3aa25fe5577b070		macos-universal	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:mac_notification_sys-> mac-notification-sys@0.6.15 -normal:objc2_foundation-> objc2-foundation@0.3.2 -normal:block2-> block2@0.6.2. Observed unit contexts: TARGET_LINKED_RUNTIME. Legal text source: https://github.com/madsmtm/objc2/blob/main/LICENSE-MIT.txt at revision 94bb7d7ede901aaf483fa73bb67d58b462911652; exact upstream bytes.		PASS
blocking	1.6.2	rust-package	https://crates.io/crates/blocking/1.6.2	Apache-2.0 OR MIT	MIT	licenses/blocking-1.6.2-LICENSE-MIT-MIT-e71aace773-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,ubuntu-amd64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:zbus-> zbus@5.19.0 -normal:blocking-> blocking@1.6.2. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
bumpalo	3.20.3	rust-package	https://crates.io/crates/bumpalo/3.20.3	MIT OR Apache-2.0	NOT_SELECTED						TARGET_NOT_APPLICABLE		Locked for another target/optional graph but unreachable from production or dev roots on the four audited release targets. License expression verified from locally cached exact crates.io archive bumpalo-3.20.3.crate.	PASS
bytemuck	1.25.2	rust-package	https://crates.io/crates/bytemuck/1.25.2	Zlib OR Apache-2.0 OR MIT	MIT	licenses/bytemuck-1.25.2-LICENSE-MIT-MIT-1bbd74039b-9df9ba60a11a.txt	licenses/bytemuck-1.25.2-LICENSE-MIT-MIT-1bbd74039b-9df9ba60a11a.txt	9df9ba60a11af705f2e451b53762686e615d86f76b169cf075c3237730dbd7e2		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:bytemuck-> bytemuck@1.25.2. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
bytemuck_derive	1.12.0	rust-package	https://crates.io/crates/bytemuck_derive/1.12.0	Zlib OR Apache-2.0 OR MIT	NOT_SELECTED						HOST_PROC_MACRO		Host-only compilation-unit proof: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:bytemuck-> bytemuck@1.25.2 -normal:bytemuck_derive-> bytemuck_derive@1.12.0. No independent target unit or generated-material proof.	PASS
camino	1.2.5	rust-package	https://crates.io/crates/camino/1.2.5	MIT OR Apache-2.0	MIT	licenses/camino-1.2.5-LICENSE-MIT-MIT-88057c2fb9-23f18e03dc49.txt	licenses/adler2-2.0.1-LICENSE-MIT-MIT-ceec63d9fa-23f18e03dc49.txt	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_audio-> mcraw4vulkan-audio@0.1.0 -normal:mcraw4vulkan_core-> mcraw4vulkan-core@0.1.0 -normal:camino-> camino@1.2.5. Observed unit contexts: HOST_BUILD_SCRIPT,TARGET_LINKED_RUNTIME.		PASS
cc	1.4.2	rust-package	https://crates.io/crates/cc/1.4.2	MIT OR Apache-2.0	NOT_SELECTED						HOST_BUILD_DEPENDENCY		Host-only compilation-unit proof: mcraw4vulkan -normal:mcraw4vulkan_preflight-> mcraw4vulkan-preflight@0.1.0 -normal:notify_rust-> notify-rust@4.17.0 -normal:mac_notification_sys-> mac-notification-sys@0.6.15 -build:cc-> cc@1.4.2. No independent target unit or generated-material proof.	PASS
cfg-if	1.0.4	rust-package	https://crates.io/crates/cfg-if/1.0.4	MIT OR Apache-2.0	MIT	licenses/cfg-if-1.0.4-LICENSE-MIT-MIT-63c9246c77-378f5840b258.txt	licenses/cfg-if-1.0.4-LICENSE-MIT-MIT-63c9246c77-378f5840b258.txt	378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:ash-> ash@0.38.0+1.3.281 -normal:libloading-> libloading@0.8.9 -normal:cfg_if-> cfg-if@1.0.4. Observed unit contexts: HOST_BUILD_DEPENDENCY,TARGET_LINKED_RUNTIME.		PASS
cfg_aliases	0.2.2	rust-package	https://crates.io/crates/cfg_aliases/0.2.2	MIT	NOT_SELECTED						HOST_BUILD_DEPENDENCY		Host-only compilation-unit proof: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -build:cfg_aliases-> cfg_aliases@0.2.2. No independent target unit or generated-material proof.	PASS
codespan-reporting	0.11.1	rust-package	https://crates.io/crates/codespan-reporting/0.11.1	Apache-2.0	Apache-2.0	licenses/codespan-reporting-0.11.1-LICENSE-Apache-2_0-8e5187e04e-c71d239df917.txt	licenses/codespan-reporting-0.11.1-LICENSE-Apache-2_0-8e5187e04e-c71d239df917.txt	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4		arch-x86_64,el10-x86_64,fedora44-x86_64,macos-universal,ubuntu-amd64,windows-x64	TARGET_LINKED_RUNTIME	Target compilation-unit owner: mcraw4vulkan -normal:mcraw4vulkan_display-> mcraw4vulkan-display@0.1.0 -normal:wgpu-> wgpu@24.0.5 -normal:hal-> wgpu-hal@24.0.4 -normal:naga-> naga@24.0.0 -normal:codespan_reporting-> codespan-reporting@0.11.1. Observed unit contexts: TARGET_LINKED_RUNTIME.		PASS
